Category,Item,Portion,Serv Size (oz.),Calories (kcal)
MARKET TABLE,Apple Manchego Salad,Spoon,2.0,35
MARKET TABLE,Arugula,Tong,1.0,5
MARKET TABLE,Asparagus,2 Each,1.5,6
MARKET TABLE,Basil Dressing,Spoon,0.9,80
MARKET TABLE,Black Bean Noodle Pasta Salad,Spoon,2.0,80
MARKET TABLE,Brazilian Potato Salad,Spoon,2.0,100
MARKET TABLE,Brazilian Vinaigrette,Spoon,2.0,25
MARKET TABLE,Broccoli,2 Florets,2.5,25
MARKET TABLE,Brown Sugar & Black Pepper Bacon,Slice,0.5,75
MARKET TABLE,Butter,Each,0.2,35
MARKET TABLE,Caesar Dressing,Spoon,0.9,110
MARKET TABLE,Caesar Salad,Tong,2.0,50
MARKET TABLE,Calabrese Salami,4 Slices,0.8,90
MARKET TABLE,Cantaloupe,1/2 Cup,3.2,30
MARKET TABLE,Cherry Tomatoes,Each,1.0,5
MARKET TABLE,Chimichurri Fried Rice,Spoon,2.0,100
MARKET TABLE,Citrus Chicken Salad,Tong,2.0,130
MARKET TABLE,Cornichons,Each,0.2,3
MARKET TABLE,Corn Chowder Soup,Bowl,6.5,270
MARKET TABLE,Cucumbers,1/4 Cup,0.9,0
MARKET TABLE,Cucumber and Onion Salad,Spoon,1.9,10
MARKET TABLE,Dedo de Moca,Ounce,1.0,5
MARKET TABLE,Edamame,1/4 Cup,1.4,45
MARKET TABLE,Fig Preserve,Tbsp,0.6,50
MARKET TABLE,Fresh Mozzarella Cheese,Each,1.0,80
MARKET TABLE,Gigante Bean Salad,Spoon,3.0,120
MARKET TABLE,Grain Mustard,Tbsp,0.5,25
MARKET TABLE,Grana Padano,Ounce,1.0,122
MARKET TABLE,Grape Tomatoes,5 Each,3.0,15
MARKET TABLE,"Hummus, Seasonal",Spoon,2.0,110
MARKET TABLE,"Hummus, Gaucho Style",Spoon,2.0,148
MARKET TABLE,Imported Hearts of Palm,Each,1.4,0
MARKET TABLE,Imported Salami,2 Slices,0.7,50
MARKET TABLE,Italian Bread,Slice,1.0,80
MARKET TABLE,Italian Dressing,Spoon,0.9,70
MARKET TABLE,Jalapeños,Spoon,0.7,25
MARKET TABLE,Kale Mango Salad,Tong,2.0,25
MARKET TABLE,Lime Vinaigrette Dressing,Spoon,2.0,290
MARKET TABLE,Malagueta Peppers,Ounce,0.25,15
MARKET TABLE,Manchego Cheese,Slice,0.7,80
MARKET TABLE,Marinated Mushrooms,Spoon,2.0,60
MARKET TABLE,Mediterranean Eggplant,Tong,2.0,45
MARKET TABLE,Mixed Greens,Tong,0.8,0
MARKET TABLE,Mixed Olive Mix w/ Citrus,Spoon,1.0,160
MARKET TABLE,Mortadella,Each,2.0,180
MARKET TABLE,Mozzarella Caprese Salad,Spoon,2.1,85
MARKET TABLE,Pão de Queijo Croutons,1/4 Cup,1.0,120
MARKET TABLE,Papaya,1/4 Cup,1.3,15
MARKET TABLE,Parma Leg,Ounce,1.0,60
MARKET TABLE,Parmesan Cheese,Tbsp,0.2,25
MARKET TABLE,Pear & Arugula Salad,Spoon,2.0,70
MARKET TABLE,Peppadew Peppers,Each,0.7,20
MARKET TABLE,Pickled Red Onions,Tong,2.0,25
MARKET TABLE,Pineapple,1/4 Cup,1.5,20
MARKET TABLE,Pomegranate,1/4 Cup,1.6,35
MARKET TABLE,Power Greens Salad,Tong,2.0,20
MARKET TABLE,Prosciutto,Slice,0.6,35
MARKET TABLE,Pumpkin Seeds,1 tsp,0.1,15
MARKET TABLE,Quinoa Tabouleh,Spoon,2.0,40
MARKET TABLE,Ranch Dressing,Spoon,0.9,130
MARKET TABLE,Roasted Apple & Butternut Squash,Spoon,2,35
MARKET TABLE,Roasted Artichokes,Tong,2.0,50
MARKET TABLE,Roasted Baby Peppers,Tong,2.0,100
MARKET TABLE,Roasted Beets and oranges,Spoon,1.4,15
MARKET TABLE,Roasted Cauliflower Salad,Spoon,2.0,70
MARKET TABLE,Roasted Garlic Cloves,3 Cloves,0.3,30
MARKET TABLE,Roasted Zucchini,Slice,1.6,20
MARKET TABLE,Romaine,Tong,0.8,0
MARKET TABLE,Seasonal Feta Cheese,2 Pieces,2.0,140
MARKET TABLE,Smoked Provolone,2 Slices,1.5,150
MARKET TABLE,Smoked Salmon,Slice,0.9,30
MARKET TABLE,Spanish Chorizo,Ounce,0.5,68
MARKET TABLE,Spinach,Tong,0.8,0
MARKET TABLE,Sundried Tomatoes,Spoon,1.1,80
MARKET TABLE,Sunflower Seeds,1 tsp,0.1,15
MARKET TABLE,Tri-Bean Salada,Spoon,2,70
MARKET TABLE,Vine-Ripened Tomatoes,Slice,1.90,10
MARKET TABLE,Watermelon,Wedge,4.0,35
CHURRASCO,Alcatra - Top Sirloin,Slice,1.6,120
CHURRASCO,Bacon Wrapped Steak,Piece,2.2,180
CHURRASCO,Bisteca de Porco - Pork Chop,Slice,1.9,85
CHURRASCO,Bisteca de Porco - Double Bone-in Pork Chop,Slice,2,130
CHURRASCO,Cordeiro - Lamb T-Bone Chop,Chop,2.4,240
CHURRASCO,Cordeiro - Lamb Picanha,Slice,1.6,110
CHURRASCO,Costela Bovina - Beef Ribs,Slice,1.6,210
CHURRASCO,Dry Aged NY Strip - 24 oz.- Shared,6 ppl (ea),4,288
CHURRASCO,Filet Mignon - Beef Tenderloin,Slice,2.0,150
CHURRASCO,Fraldina - Bottom Sirloin,Slice,1.6,100
CHURRASCO,Frango - Chicken Breast Chimichurri Marinade,Slice,2.0,90
CHURRASCO,Frango - Bacon Wrapped Chicken,Piece,1.5,80
CHURRASCO,Frango - Chicken Legs Chimichurri Marinade,Leg,3.2,170
CHURRASCO,Frango - Chicken Thigh Chimichurri Marinade,Thigh,3.2,210
CHURRASCO,Linguica - Spicy Pork Sausage,Piece,1.8,120
CHURRASCO,New York Strip,Slice,1.7,59
CHURRASCO,Pork Picanha,Slice,1.7,92
CHURRASCO,Picanha with Garlic,Slice,1.7,130
CHURRASCO,Porterhouse Steak,Slice,1.5,105
CHURRASCO,Queijo Assado (grilled cheese),Board,4.6,440
CHURRASCO,Tomahawk Ancho 32 oz - shared,6 ppl (ea),4,270
CHURRASCO,Tomahawk Ancho 32 oz,Whole,22,1620
CHURRASCO,Wagyu Ancho 20 oz. - shared,4 ppl (ea),5,336
CHURRASCO,Wagyu New York Strip 20 oz.,Whole,20,1345
SAUCES,Chimichurri Sauce,Spoon,0.9,80
SAUCES,Horseradish Sauce,Spoon,0.9,25
SAUCES,Malagueta Honey,Spoon,1.0,90
SAUCES,Mintchurri Sauce,Spoon,1.0,90
SAUCES,Mint Jelly,Spoon,0.9,60
SAUCES,Tomato & Mozzarella Soup,Ladle,8,110
SAUCES,Black Beans - Feijoada,Serving,3.0,50
SAUCES,Pão de Queijo Bread,2 Each,1.2,130
SAUCES,Farofa,Serving,2.0,210
SAUCES,Fried Banana,Each,3.9,190
SAUCES,Garlic Mashed Potatoes,Serving,3.0,80
SAUCES,Polenta,Serving,1.6,50
SAUCES,White Rice,1/2 cup,2.8,140
SEAFOOD ENTREES,Chilean Sea Bass - as served,Serving,15.4,730
SEAFOOD ENTREES,Chilean Sea Bass with Asparagus (no sauce),Serving,13.3,600
SEAFOOD ENTREES,Grilled Salmon - as served,Serving,11,570
CHILLED SEAFOOD,Jumbo Shrimp Cocktail,1 bowl,8.0,180
CHILLED SEAFOOD,Lobster & Shrimp Combo (4 ppl),ea. serving,5,210
CHILLED SEAFOOD,Chilled Lobster (4 ppl),ea. serving,7.5,250
CHILLED SEAFOOD,Seafood Tower (6 ppl),ea. serving,12,455
CHILLED SEAFOOD,Malagueta Cocktail Sauce,Ramekin,1.5,50
VEGETERIAN/VEGAN FRIENDLY,Roasted Cauliflower Steak - Veg.,Serving,22,740
VEGETERIAN/VEGAN FRIENDLY,Seared Tofu and Black Bean Noodles Entrée,Serving,16,430
VEGETERIAN/VEGAN FRIENDLY,Roasted Veggie Power Bowl Vegan Entrée,Serving,19,740
HOLIDAY SPECIALTIES,Roasted Turkey Breast,Slice,2.0,130
HOLIDAY SPECIALTIES,Cranberry Relish,Serving,2.0,80
HOLIDAY SPECIALTIES,Sweet Potato Casserole,Serving,4.0,190
HOLIDAY SPECIALTIES,Turkey Au Jus,Spoon,1.0,10
HOLIDAY SPECIALTIES,Brazilian Sausage and Apple Stuffing,Serving,5.0,180
BAR FOOD ITEMS,Jumbo Shrimp Cocktail,Bowl,8.0,180
BAR FOOD ITEMS,Grilled Beef Tenderloin Skewers,Plate,7.5,600
BAR FOOD ITEMS,Braised Beef Rib Sliders (3),Board,16.5,1380
BAR FOOD ITEMS,"Braised Beef Rib Sliders, Happy Hour (2)",Board,11.5,1010
BAR FOOD ITEMS,Brazilian Empanadas (6),Plate,11.0,760
BAR FOOD ITEMS,Chimichurri Aioli,Bowl,1.5,160
BAR FOOD ITEMS,"Churrasco Beef Rib Board, The Bone",Board,10.8,730
BAR FOOD ITEMS,"Churrasco Beef Rib Board, The Bone, No Sauce",Board,8.8,510
BAR FOOD ITEMS,"Churrasco Meat Board, BPQ",Board,30.1,1050
BAR FOOD ITEMS,"Churrasco - Meat Board, Pork Ribs No Sauce",Board,7.6,640
BAR FOOD ITEMS,"Churrasco Meat Board, 3 Lamb Chops",Board,12.7,1170
BAR FOOD ITEMS,"Churrasco Meat Board, 3 Lamb Chops, No Sauce",Board,10.6,940
BAR FOOD ITEMS,"Churrasco Meat Board, Saucy Legs",Order,16.6,780
BAR FOOD ITEMS,"Hummus, Seasonal",Order,9.6,730
BAR FOOD ITEMS,"Hummus, Gaucho Style",Order,16.1,1140
BAR FOOD ITEMS,Lobster Shrimp Tacos,Order,9.7,500
BAR FOOD ITEMS,Malagueta Aioli,Bowl,1.5,160
BAR FOOD ITEMS,Malagueta Cocktail Sauce,Bowl,1.5,50
BAR FOOD ITEMS,Picanha Burger (as served),Board,18.5,1480
BAR FOOD ITEMS,Polenta Fries (as served),Board,9.6,500
BAR FOOD ITEMS,Garlic Shrimp,Plate,14.6,1010
BAR FOOD ITEMS,Saucy Legs (chicken legs),Plate,16.6,780
BAR FOOD ITEMS,Spiced Chicken Sliders (3),Board,21.0,960
BAR FOOD ITEMS,"Spiced Chicken Sliders, Happy Hour (2)",Board,16.7,760
BAR FOOD ITEMS,Warm Hearts of Palm & Spinach Dip,Serving,5.5,260
SIDES,Black Beans,Serving,3.0,50
SIDES,Chimichurri Aioli,Bowl,1.5,160
SIDES,Crispy Parmesan Polenta Fries,Plate,5.6,300
SIDES,White Rice,1/2 cup,3.0,140
BRUNCH ITEMS,Banana Cream,Tbsp,0.3,25
BRUNCH ITEMS,Bolo de Fuba,Slice,3.0,280
BRUNCH ITEMS,Braised Beef Rib Hash,Plate,4.0,200
BRUNCH ITEMS,Crepe - Berries and Cream,Each,4.4,250
BRUNCH ITEMS,Scrambled Eggs and Cheese,3 Eggs,8.1,520
BRUNCH ITEMS,Seasonal Fruit & Yogurt Parfait,Bowl,4.2,170
BRUNCH ITEMS,Vanilla Greek Yogurt,Spoon,2.0,60
BRUNCH ITEMS,Waffle,Each,6.7,620
BRUNCH ITEMS,Omelet (plain - add ons below),Each,3.5,260
BRUNCH ITEMS,Omelet Add-On: Baby Spinach,Tong,0.25,0
BRUNCH ITEMS,Omelet Add-On: Diced Ham,Tbsp,0.5,15
BRUNCH ITEMS,Omelet Add-On: Diced Onion,Tbsp,0.25,0
BRUNCH ITEMS,Omelet Add-On: Diced Red Peppers,Tbsp,0.5,0
BRUNCH ITEMS,Omelet Add-On: Diced Tomatoes,Tbsp,0.5,0
BRUNCH ITEMS,Omelet Add-On: Diced Yellow Peppers,Tbsp,0.5,0
BRUNCH ITEMS,Omelet Add-On: Green Onions,Tong,0.25,0
BRUNCH ITEMS,Omelet Add-On: Shredded Cheddar Cheese,Tong,0.5,60
BRUNCH ITEMS,Omelet Add-On: Sliced Mushrooms,Tong,0.5,0
DESSERTS,Açaí Cheesecake,Slice,8.0,690
DESSERTS,Chocolate Brigadero Cake,Plate,12.6,1270
DESSERTS,Chocolate Molten Cake,Each,12.2,970
DESSERTS,Crème Brulée,Each,6.0,590
DESSERTS,Ice Cream Bowl,Each,6.0,350
DESSERTS,Key Lime Pie,Slice,8.5,840
DESSERTS,New York Cheesecake w/ Strawberries,Slice,10.0,990
DESSERTS,New York Cheesecake,Slice,9.0,910
DESSERTS,Papaya Crème,Each,9.0,240
DESSERTS,Tres Leches Cake,Each,11.3,830
CRAFTED CAIPIRINHAS,Berry Mint Caipirinha,Glass,13.5,310
CRAFTED CAIPIRINHAS,Caipirinha,Glass,12.0,340
CRAFTED CAIPIRINHAS,Mango Habanero Caipirinha,Glass,13.0,330
CRAFTED CAIPIRINHAS,Passionate Caipirinha,Glass,11.3,370
CRAFTED CAIPIRINHAS,Premium Caipirinha,Glass,14.0,340
CRAFTED CAIPIRINHAS,Strawberry Hibiscus Caipirinha,Glass,12.0,180
BRAZILIAN INSPIRED COCKTAILS,Basil Gimlet,Glass,4.4,220
BRAZILIAN INSPIRED COCKTAILS,Blood Orange Manhattan,Glass,4.9,190
BRAZILIAN INSPIRED COCKTAILS,Caramelized Pineapple Old Fashioned,Glass,10.0,340
BRAZILIAN INSPIRED COCKTAILS,Cucumber Mint Smash,Glass,14.1,200
BRAZILIAN INSPIRED COCKTAILS,Desert Rose,Glass,4,210
BRAZILIAN INSPIRED COCKTAILS,Fogo Bloody Mary,Glass,7.4,340
BRAZILIAN INSPIRED COCKTAILS,Jorges Sour,Glass,4.3,590
BRAZILIAN INSPIRED COCKTAILS,Passion Fruit Mimosa,Glass,6.0,130
BRAZILIAN INSPIRED COCKTAILS,Samba Squeeze,Glass,3.6,190
BRAZILIAN INSPIRED COCKTAILS,Superfruit Lemonade,Glass,14.3,320
BRAZILIAN INSPIRED COCKTAILS,Yellowbird,Glass,4.5,200
BRAZILIAN INSPIRED BEVERAGES (non-alcoholic),Brazilian Limonada,Glass,15.9,220
BRAZILIAN INSPIRED BEVERAGES (non-alcoholic),Watermelon Fresca Beverage,Glass,8.0,120
BRAZILIAN INSPIRED BEVERAGES (non-alcoholic),Pineapple Mint Lemonade,Glass,6.1,160
BRAZILIAN INSPIRED BEVERAGES (non-alcoholic),Guaraná Antarctica,Can,11.83,140
BRAZILIAN INSPIRED BEVERAGES (non-alcoholic),Paradise Spritz,Glass,7.7,90
CLEAN COCKTAILS,Clean Cosmo,Glass,5.8,110
CLEAN COCKTAILS,Clean Cucumber Martini,Glass,7.2,110
CLEAN COCKTAILS,Clean Sour,Glass,4.1,110
AFTER DINNER COFFEE DRINKS,Baileys Coffee,Each,10.4,340
AFTER DINNER COFFEE DRINKS,Carajilo Coffee,Each,10.4,180
AFTER DINNER COFFEE DRINKS,Chocolate Coffee,Each,10.4,320
AFTER DINNER COFFEE DRINKS,Espresso Martini,Each,3.5,280
AFTER DINNER COFFEE DRINKS,Irish Coffee,Each,10.4,280
AFTER DINNER COFFEE DRINKS,Italian Coffee,Each,10.4,320
AFTER DINNER COFFEE DRINKS,Nutty Irishman Coffee,Each,10.4,310
AFTER DINNER COFFEE DRINKS,Spanish Coffee,Each,10.4,240
WINES,Sparkling Wine,Glass,6.0,120
WINES,White Wine,Glass,6.0,135
WINES,Rose Wine,Glass,6.0,125
WINES,Red Wine,Glass,6.0,150
